OBJECTID;Codigo Municipio;Nombre Municipio;Nombre Departamento;Valor Riesgo CC;Riesgo CC;Vulnerabilidad Vs Amenaza;Area Ha;Simbologia;st_area(shape);st_length(shape)
267;15272;FIRAVITOBA;BOYACÁ;0.165907;Bajo;7;10961.832126;Bajo2;0.008945;0.495799
268;25126;CAJICÁ;CUNDINAMARCA;0.294783;Alto;19;5035.687932;Alto4;0.004106;0.393340
269;15276;FLORESTA;BOYACÁ;0.139856;Muy bajo;2;8834.939175;Muy bajo2;0.007211;0.421218
270;15293;GACHANTIVÁ;BOYACÁ;0.232405;Medio;15;8690.395313;Medio5;0.007094;0.459534
271;25745;SIMIJACA;CUNDINAMARCA;0.229584;Medio;15;9904.370624;Medio5;0.008083;0.481483
272;25754;SOACHA;CUNDINAMARCA;0.161672;Bajo;6;18748.652339;Bajo1;0.015278;0.898447
273;15296;GÁMEZA;BOYACÁ;0.157429;Muy bajo;5;12191.772910;Muy bajo5;0.009949;0.615902
274;17388;LA MERCED;CALDAS;0.201029;Medio;13;8937.357423;Medio3;0.007287;0.425995
275;15299;GARAGOA;BOYACÁ;0.151527;Muy bajo;4;19638.112921;Muy bajo4;0.016013;0.595645
276;15317;GUACAMAYAS;BOYACÁ;0.157410;Muy bajo;5;5719.993535;Muy bajo5;0.004672;0.296262
277;15322;GUATEQUE;BOYACÁ;0.230364;Medio;15;3592.756224;Medio5;0.002929;0.285984
278;17442;MARMATO;CALDAS;0.302520;Alto;19;3641.913113;Alto4;0.002970;0.291550
279;17653;SALAMINA;CALDAS;0.211801;Medio;14;39067.260991;Medio4;0.031858;1.061659
280;17662;SAMANÁ;CALDAS;0.161609;Bajo;6;75719.783141;Bajo1;0.061781;1.613171
281;17867;VICTORIA;CALDAS;0.205835;Medio;13;55704.634922;Medio3;0.045447;1.346507
282;17873;VILLAMARIA;CALDAS;0.194351;Medio;12;45556.670872;Medio2;0.037124;1.074321
283;15325;GUAYATÁ;BOYACÁ;0.169609;Bajo;8;10093.854545;Bajo3;0.008229;0.418144
284;15332;GUICÁN;BOYACÁ;0.124454;Muy bajo;1;94866.174055;Muy bajo1;0.077488;1.534981
