"tipo","recurso","rol","script"
"derivado","imca_2022","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","20250506 EDUCACION","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","infraestructura_internet_2025","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","poblacion_total_2025","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","uso_del_suelo_pota","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","curados/MDM_PROVINCIAS.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","curados/IDF_PROVINCIAS.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","curados/617_PROVINCIAS.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","curados/ICM_PROVINCIAS.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","curados/ICM_PROVINCIAS.xlsx","lee","02_Code/03_tablas/04_gobernabilidad.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","curados/EXTRANJEROS_PROVINCIAS.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","DATALAKE DEyC.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","curados/VALOR_AGREGADO_20152024_MUNICIPIOS.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","Energia_NorteAntioquia.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","Energia_NorteAntioquia.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","Actualización/Fuentes/TITULOSMINAS_ORIGINAL.xlsx","lee","02_Code/03_tablas/05_economia.R"
"insumo","instrumentos_planificacion_turistica_antioquia.xlsx","lee","02_Code/03_tablas/05_economia.R"
"derivado","ECV_nbi_pobreza","lee","02_Code/03_tablas/05_economia.R"
"derivado","ECV_oficial_agregados","lee","02_Code/03_tablas/05_economia.R"
"insumo","curados/PECUARIO_PROVINCIAS.xlsx","lee","02_Code/03_tablas/06_desarrollo_rural.R"
"insumo","curados/CULTIVOS_PROVINCIAS.xlsx","lee","02_Code/03_tablas/06_desarrollo_rural.R"
"insumo","AREA_ORIGINAL.xlsx","lee","02_Code/03_tablas/06_desarrollo_rural.R"
"insumo","curados/AREAPROTEGIDA_PROVINCIAS.xlsx","lee","02_Code/03_tablas/07_ambiental.R"
"insumo","curados/IRCA_PROVINCIAS.xlsx","lee","02_Code/03_tablas/07_ambiental.R"
"insumo","curados/EMERGENCIAS_PROVINCIAS.xlsx","lee","02_Code/03_tablas/07_ambiental.R"
"insumo","curados/IMRC_PROVINCIAS.xlsx","lee","02_Code/03_tablas/07_ambiental.R"
"insumo","Pérdida de cobertura árborea.xlsx","lee","02_Code/03_tablas/07_ambiental.R"
"insumo","curados/EDUCACION_PROVINCIAS.xlsx","lee","02_Code/03_tablas/08_educacion.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/09_salud.R"
"insumo","NATALIDAD.xlsx","lee","02_Code/03_tablas/09_salud.R"
"insumo","curados/suicidios_e_intentos_medias_dicc.dta","lee","02_Code/03_tablas/09_salud.R"
"insumo","ASEGURAMIENTO_MUNICIPIOS.xlsx","lee","02_Code/03_tablas/09_salud.R"
"insumo","MORTALIDAD_INFANTIL.xlsx","lee","02_Code/03_tablas/09_salud.R"
"derivado","20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","lee","02_Code/03_tablas/09_salud.R"
"insumo","AREA_ORIGINAL.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","curados/CULTILICITOS_PROVINCIAS.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","curados/EVOA_PROVINCIAS.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","curados/HECHOSVICTIM_PROVINCIAS.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","curados/SRDAFT_PROVINCIAS.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","IRV-2025.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"insumo","UBPD_desaparecidos_Antioquia.xlsx","lee","02_Code/03_tablas/10_seguridad.R"
"derivado","poblacion_total_2025","lee","02_Code/03_tablas/10_seguridad.R"
"derivado","seguridad_policia","lee","02_Code/03_tablas/10_seguridad.R"
"derivado","percepcion_seguridad","lee","02_Code/03_tablas/10_seguridad.R"
"derivado","poblacion_total_2025","lee","02_Code/99_checks/auditoria_end_to_end.R"
"derivado","codigos_provincias","lee","02_Code/R/01_utils.R"
"derivado","subreg_completo","lee","02_Code/R/01_utils.R"
"insumo","maps/MGN_MPIO_POLITICO.shp","lee","02_Code/R/03_mapas.R"
