"provincia","seccion","archivo","hoja","tipo","filas","columnas"
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_15","datos de figura",7,4
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_mapa05_va_percapita","datos de figura",6,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","inventario_pecuario","tabla",63,12
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","participacion_municipal","tabla",42,7
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_especies","tabla",42,11
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","area_km2","tabla",7,5
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","principales_cultivos","tabla",42,6
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_agricola","tabla",49,12
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","rendimiento","tabla",49,8
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_01","datos de figura",6,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_02","datos de figura",24,3
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_03","datos de figura",12,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_04","datos de figura",6,6
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_05","datos de figura",6,5
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","detalle","tabla",20,8
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","irca","tabla",126,11
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","eventos_tipo","tabla",63,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","eventos_año","tabla",36,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","desastres_selectos","tabla",8,10
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","imrc","tabla",8,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","perdida_cobertura","tabla",9,5
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_01","datos de figura",5,3
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_02","datos de figura",6,4
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_03","datos de figura",18,3
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_04","datos de figura",6,2
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_05","datos de figura",16,2
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_06","datos de figura",6,2
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_07","datos de figura",6,3
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_mapa07_perdida_cobertura","datos de figura",6,3
"Agroindustrial del Occidente","08_Educacion","educacion.xlsx","educacion","tabla",126,8
"Agroindustrial del Occidente","08_Educacion","educacion.xlsx","_fig_01","datos de figura",6,3
"Agroindustrial del Occidente","08_Educacion","educacion.xlsx","_fig_02","datos de figura",6,3
"Agroindustrial del Occidente","08_Educacion","educacion.xlsx","_fig_03","datos de figura",6,3
"Agroindustrial del Occidente","08_Educacion","educacion.xlsx","_mapa08_cobertura_neta","datos de figura",6,4
"Agroindustrial del Occidente","09_Salud","salud.xlsx","bajo_peso","tabla",9,5
"Agroindustrial del Occidente","09_Salud","salud.xlsx","enfermedades_tropicales","tabla",7,7
"Agroindustrial del Occidente","09_Salud","salud.xlsx","suicidios","tabla",9,6
"Agroindustrial del Occidente","09_Salud","salud.xlsx","aseguramiento_sgsss","tabla",7,10
"Agroindustrial del Occidente","09_Salud","salud.xlsx","mortalidad_infantil","tabla",45,6
"Agroindustrial del Occidente","09_Salud","salud.xlsx","_fig_01","datos de figura",6,4
"Agroindustrial del Occidente","09_Salud","salud.xlsx","_fig_02","datos de figura",6,2
"Agroindustrial del Occidente","09_Salud","salud.xlsx","_fig_03","datos de figura",6,4
"Agroindustrial del Occidente","09_Salud","salud.xlsx","_fig_04","datos de figura",6,3
"Agroindustrial del Occidente","09_Salud","salud.xlsx","_mapa09_mortalidad_infantil","datos de figura",6,4
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","coca","tabla",2,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","evoa","tabla",14,9
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","delitos","tabla",9,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","total_victimas","tabla",7,9
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","proporcion_hechos","tabla",17,3
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","srtdaf","tabla",9,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","tasas","tabla",9,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","P1A_barrio","tabla",8,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","P2_cambio_barrio","tabla",8,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","P4A_municipio","tabla",8,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","P6_cambio_municipio","tabla",8,7
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","irv","tabla",6,6
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","desaparecidos","tabla",7,6
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_fig_01","datos de figura",16,4
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_fig_02","datos de figura",6,4
