"provincia","seccion","hoja","n_esperados","n_presentes","n_faltantes","n_ajenos","faltantes","ajenos"
"Del Río Grande","07_Ambiental","imrc",5,5,0,0,"",""
"Del Río Grande","07_Ambiental","perdida_cobertura",5,5,0,0,"",""
"Del Río Grande","07_Ambiental","_mapa07_perdida_cobertura",5,5,0,0,"",""
"Del Río Grande","08_Educacion","educacion",5,5,0,0,"",""
"Del Río Grande","08_Educacion","_mapa08_cobertura_neta",5,5,0,0,"",""
"Del Río Grande","09_Salud","bajo_peso",5,5,0,0,"",""
"Del Río Grande","09_Salud","enfermedades_tropicales",5,5,0,0,"",""
"Del Río Grande","09_Salud","suicidios",5,5,0,0,"",""
"Del Río Grande","09_Salud","aseguramiento_sgsss",5,5,0,0,"",""
"Del Río Grande","09_Salud","mortalidad_infantil",5,5,0,0,"",""
"Del Río Grande","09_Salud","_mapa09_mortalidad_infantil",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","coca",5,0,5,0,"5086 5237 5264 5664 5686",""
"Del Río Grande","10_Seguridad","evoa",5,0,5,0,"5086 5237 5264 5664 5686",""
"Del Río Grande","10_Seguridad","delitos",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","total_victimas",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","srtdaf",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","tasas",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","irv",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","desaparecidos",5,5,0,0,"",""
"Del Río Grande","10_Seguridad","_mapa10_homicidios",5,5,0,0,"",""
"Turística y Agroecológica","01_Generalidades","distribucion_territorial",7,7,0,0,"",""
"Turística y Agroecológica","01_Generalidades","_mapa01_area",7,7,0,0,"",""
"Turística y Agroecológica","02_Demografia","poblacion",7,7,0,0,"",""
"Turística y Agroecológica","02_Demografia","estructura_edad",7,7,0,0,"",""
"Turística y Agroecológica","02_Demografia","natalidad_mortalidad",7,7,0,0,"",""
"Turística y Agroecológica","02_Demografia","migracion",7,7,0,0,"",""
"Turística y Agroecológica","02_Demografia","_mapa02_densidad",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","deficit_vivienda",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","servicios_publicos",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","vias_area",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","vias_habitantes",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","catastro",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","imca",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","gobierno_digital",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","tti_edsup",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","internet_2025",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","uso_suelo_rural",7,7,0,0,"",""
"Turística y Agroecológica","03_Ordenamiento","_mapa03_deficit_vivienda",7,7,0,0,"",""
"Turística y Agroecológica","04_Gobernabilidad","mdm",7,7,0,0,"",""
"Turística y Agroecológica","04_Gobernabilidad","idf",7,7,0,0,"",""
"Turística y Agroecológica","04_Gobernabilidad","ley617",7,7,0,0,"",""
"Turística y Agroecológica","04_Gobernabilidad","icm",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","extranjeros_municipio",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","ecv_pobreza",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","ecv_ipm",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","ecv_gini",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","ecv_ocupacion_informal",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","ecv_desocupacion_nini",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","turismo_instrumentos",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","dependencia_economica",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","densidad_empresarial",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","valor_agregado",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","va_actividades",7,7,0,0,"",""
"Turística y Agroecológica","05_Economia","energia_centrales",7,0,7,0,"5113 5240 5306 5347 5501 5628 5656",""
"Turística y Agroecológica","05_Economia","_mapa05_va_percapita",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","inventario_pecuario",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","participacion_municipal",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","composicion_especies",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","area_km2",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","composicion_agricola",7,7,0,0,"",""
"Turística y Agroecológica","06_Desarrollo_Rural","rendimiento",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","detalle",7,6,1,0,"5113",""
"Turística y Agroecológica","07_Ambiental","irca",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","eventos_tipo",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","eventos_año",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","desastres_selectos",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","imrc",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","perdida_cobertura",7,7,0,0,"",""
"Turística y Agroecológica","07_Ambiental","_mapa07_perdida_cobertura",7,7,0,0,"",""
"Turística y Agroecológica","08_Educacion","educacion",7,7,0,0,"",""
"Turística y Agroecológica","08_Educacion","_mapa08_cobertura_neta",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","bajo_peso",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","enfermedades_tropicales",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","suicidios",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","aseguramiento_sgsss",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","mortalidad_infantil",7,7,0,0,"",""
"Turística y Agroecológica","09_Salud","_mapa09_mortalidad_infantil",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","coca",7,0,7,0,"5113 5240 5306 5347 5501 5628 5656",""
"Turística y Agroecológica","10_Seguridad","evoa",7,0,7,0,"5113 5240 5306 5347 5501 5628 5656",""
"Turística y Agroecológica","10_Seguridad","delitos",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","total_victimas",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","srtdaf",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","tasas",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","irv",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","desaparecidos",7,7,0,0,"",""
"Turística y Agroecológica","10_Seguridad","_mapa10_homicidios",7,7,0,0,"",""
"Agua, Bosques y Turismo","01_Generalidades","distribucion_territorial",12,12,0,0,"",""
"Agua, Bosques y Turismo","01_Generalidades","_mapa01_area",12,12,0,0,"",""
"Agua, Bosques y Turismo","02_Demografia","poblacion",12,12,0,0,"",""
"Agua, Bosques y Turismo","02_Demografia","estructura_edad",12,12,0,0,"",""
"Agua, Bosques y Turismo","02_Demografia","natalidad_mortalidad",12,12,0,0,"",""
"Agua, Bosques y Turismo","02_Demografia","migracion",12,12,0,0,"",""
"Agua, Bosques y Turismo","02_Demografia","_mapa02_densidad",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","deficit_vivienda",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","servicios_publicos",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","vias_area",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","vias_habitantes",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","catastro",12,10,2,0,"5440 5674",""
"Agua, Bosques y Turismo","03_Ordenamiento","imca",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","gobierno_digital",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","tti_edsup",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","internet_2025",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","uso_suelo_rural",12,12,0,0,"",""
"Agua, Bosques y Turismo","03_Ordenamiento","_mapa03_deficit_vivienda",12,12,0,0,"",""
"Agua, Bosques y Turismo","04_Gobernabilidad","mdm",12,12,0,0,"",""
"Agua, Bosques y Turismo","04_Gobernabilidad","idf",12,12,0,0,"",""
"Agua, Bosques y Turismo","04_Gobernabilidad","ley617",12,12,0,0,"",""
"Agua, Bosques y Turismo","04_Gobernabilidad","icm",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","extranjeros_municipio",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","ecv_pobreza",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","ecv_ipm",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","ecv_gini",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","ecv_ocupacion_informal",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","ecv_desocupacion_nini",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","turismo_instrumentos",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","dependencia_economica",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","densidad_empresarial",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","valor_agregado",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","va_actividades",12,12,0,0,"",""
"Agua, Bosques y Turismo","05_Economia","energia_centrales",12,8,4,0,"5206 5541 5652 5674",""
"Agua, Bosques y Turismo","05_Economia","_mapa05_va_percapita",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","inventario_pecuario",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","participacion_municipal",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","composicion_especies",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","area_km2",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","composicion_agricola",12,12,0,0,"",""
"Agua, Bosques y Turismo","06_Desarrollo_Rural","rendimiento",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","detalle",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","irca",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","eventos_tipo",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","eventos_año",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","desastres_selectos",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","imrc",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","perdida_cobertura",12,12,0,0,"",""
"Agua, Bosques y Turismo","07_Ambiental","_mapa07_perdida_cobertura",12,12,0,0,"",""
"Agua, Bosques y Turismo","08_Educacion","educacion",12,12,0,0,"",""
"Agua, Bosques y Turismo","08_Educacion","_mapa08_cobertura_neta",12,12,0,0,"",""
"Agua, Bosques y Turismo","09_Salud","bajo_peso",12,12,0,0,"",""
"Agua, Bosques y Turismo","09_Salud","enfermedades_tropicales",12,12,0,0,"",""
"Agua, Bosques y Turismo","09_Salud","suicidios",12,12,0,0,"",""
"Agua, Bosques y Turismo","09_Salud","aseguramiento_sgsss",12,12,0,0,"",""
"Agua, Bosques y Turismo","09_Salud","mortalidad_infantil",12,12,0,0,"",""
