"provincia","seccion","figura","hay_pdf","hoja_de_datos","hay_hoja_de_datos","kb"
"Bioenergética del Norte de Antioquia","09_Salud","mapa_09_mortalidad_infantil",TRUE,"_mapa09_mortalidad_infantil",TRUE,200
"Bioenergética del Norte de Antioquia","10_Seguridad","fig_01_percepcion_seguridad",TRUE,"_fig_01",TRUE,149
"Bioenergética del Norte de Antioquia","10_Seguridad","fig_02_restitucion_tierras",TRUE,"_fig_02",TRUE,179
"Bioenergética del Norte de Antioquia","10_Seguridad","fig_03_personas_desaparecidas",TRUE,"_fig_03",TRUE,153
"Bioenergética del Norte de Antioquia","10_Seguridad","fig_04_victimas_ocurrencia",TRUE,"_fig_04",TRUE,160
"Bioenergética del Norte de Antioquia","10_Seguridad","fig_05_hechos_victimizantes",TRUE,"_fig_05",TRUE,211
"Bioenergética del Norte de Antioquia","10_Seguridad","mapa_10_homicidios_dpto",TRUE,"_mapa10_homicidios_dpto",TRUE,229
"Bioenergética del Norte de Antioquia","10_Seguridad","mapa_10_homicidios",TRUE,"_mapa10_homicidios",TRUE,191
"Del Río Grande","01_Generalidades","fig_01_distribucion_territorial",TRUE,"_fig_01",TRUE,79
"Del Río Grande","01_Generalidades","mapa_00_localizacion",TRUE,"_mapa00_localizacion",TRUE,192
"Del Río Grande","01_Generalidades","mapa_01_area",TRUE,"_mapa01_area",TRUE,146
"Del Río Grande","02_Demografia","fig_01_poblacion_municipio",TRUE,"_fig_01",TRUE,86
"Del Río Grande","02_Demografia","fig_02_composicion_urbana_rural",TRUE,"_fig_02",TRUE,104
"Del Río Grande","02_Demografia","fig_03_densidad_poblacional",TRUE,"_fig_03",TRUE,104
"Del Río Grande","02_Demografia","fig_04_piramide_poblacional",TRUE,"_fig_04",TRUE,137
"Del Río Grande","02_Demografia","fig_05_indice_envejecimiento",TRUE,"_fig_05",TRUE,106
"Del Río Grande","02_Demografia","mapa_02_densidad",TRUE,"_mapa02_densidad",TRUE,153
"Del Río Grande","03_Ordenamiento","fig_01_uso_suelo_rural",TRUE,"_fig_01",TRUE,88
"Del Río Grande","03_Ordenamiento","fig_02_catastro_avaluo_rural",TRUE,"_fig_02",TRUE,92
"Del Río Grande","03_Ordenamiento","fig_03_vias_area",TRUE,"_fig_03",TRUE,96
"Del Río Grande","03_Ordenamiento","fig_04_vias_habitantes",TRUE,"_fig_04",TRUE,95
"Del Río Grande","03_Ordenamiento","fig_05_deficit_cuantitativo",TRUE,"_fig_05",TRUE,106
"Del Río Grande","03_Ordenamiento","fig_06_deficit_cualitativo",TRUE,"_fig_06",TRUE,108
"Del Río Grande","03_Ordenamiento","fig_07_servicios_publicos",TRUE,"_fig_07",TRUE,134
"Del Río Grande","03_Ordenamiento","fig_08_imca_dimensiones",TRUE,"_fig_08",TRUE,173
"Del Río Grande","03_Ordenamiento","fig_09_imca_adopcion_tic",TRUE,"_fig_09",TRUE,93
"Del Río Grande","03_Ordenamiento","fig_10_gobierno_digital",TRUE,"_fig_10",TRUE,106
"Del Río Grande","03_Ordenamiento","fig_11_gobierno_digital_componentes",TRUE,"_fig_11",TRUE,160
"Del Río Grande","03_Ordenamiento","fig_12_tti_edsup",TRUE,"_fig_12",TRUE,101
"Del Río Grande","03_Ordenamiento","fig_13_internet_1000hab",TRUE,"_fig_13",TRUE,99
"Del Río Grande","03_Ordenamiento","fig_14_internet_fibra",TRUE,"_fig_14",TRUE,99
"Del Río Grande","03_Ordenamiento","mapa_03_deficit_vivienda",TRUE,"_mapa03_deficit_vivienda",TRUE,155
"Del Río Grande","04_Gobernabilidad","fig_01_mdm",TRUE,"_fig_01",TRUE,97
"Del Río Grande","04_Gobernabilidad","fig_02_idf",TRUE,"_fig_02",TRUE,100
"Del Río Grande","04_Gobernabilidad","fig_03_ley617",TRUE,"_fig_03",TRUE,105
"Del Río Grande","04_Gobernabilidad","fig_04_icm",TRUE,"_fig_04",TRUE,103
"Del Río Grande","04_Gobernabilidad","fig_05_icm_dimensiones",TRUE,"_fig_05",TRUE,180
"Del Río Grande","05_Economia","fig_01_pobreza_nbi",TRUE,"_fig_01",TRUE,105
"Del Río Grande","05_Economia","fig_02_pobreza_ipm",TRUE,"_fig_02",TRUE,112
"Del Río Grande","05_Economia","fig_03_gini_hogar_laboral",TRUE,"_fig_03",TRUE,119
"Del Río Grande","05_Economia","fig_04_ocupacion_informalidad",TRUE,"_fig_04",TRUE,121
"Del Río Grande","05_Economia","fig_05_desocupacion_total_jovenes",TRUE,"_fig_05",TRUE,113
"Del Río Grande","05_Economia","fig_06_jovenes_nini",TRUE,"_fig_06",TRUE,106
"Del Río Grande","05_Economia","fig_07_dependencia_economica",TRUE,"_fig_07",TRUE,112
"Del Río Grande","05_Economia","fig_08_densidad_empresarial",TRUE,"_fig_08",TRUE,102
"Del Río Grande","05_Economia","fig_09_valor_agregado_per_capita",TRUE,"_fig_09",TRUE,102
"Del Río Grande","05_Economia","fig_10_peso_relativo_valor_agregado",TRUE,"_fig_10",TRUE,93
"Del Río Grande","05_Economia","fig_11_composicion_valor_agregado",TRUE,"_fig_11",TRUE,137
"Del Río Grande","05_Economia","fig_12_valor_agregado_actividades",TRUE,"_fig_12",TRUE,166
"Del Río Grande","05_Economia","fig_13_titulos_mineros",TRUE,"_fig_13",TRUE,120
"Del Río Grande","05_Economia","fig_14_visitantes_extranjeros",TRUE,"_fig_14",TRUE,134
"Del Río Grande","05_Economia","fig_15_participacion_visitantes",TRUE,"_fig_15",TRUE,108
"Del Río Grande","05_Economia","mapa_05_va_percapita",TRUE,"_mapa05_va_percapita",TRUE,159
"Del Río Grande","06_Desarrollo_Rural","fig_01_participacion_pecuaria",TRUE,"_fig_01",TRUE,103
"Del Río Grande","06_Desarrollo_Rural","fig_02_composicion_especies",TRUE,"_fig_02",TRUE,124
"Del Río Grande","06_Desarrollo_Rural","fig_03_composicion_agricola",TRUE,"_fig_03",TRUE,113
"Del Río Grande","06_Desarrollo_Rural","fig_04_participacion_produccion",TRUE,"_fig_04",TRUE,106
"Del Río Grande","06_Desarrollo_Rural","fig_05_rendimiento_agricola",TRUE,"_fig_05",TRUE,109
"Del Río Grande","07_Ambiental","fig_01_areas_protegidas",TRUE,"_fig_01",TRUE,76
"Del Río Grande","07_Ambiental","fig_02_irca",TRUE,"_fig_02",TRUE,98
"Del Río Grande","07_Ambiental","fig_03_irca_evolucion",TRUE,"_fig_03",TRUE,119
"Del Río Grande","07_Ambiental","fig_04_perdida_cobertura",TRUE,"_fig_04",TRUE,96
"Del Río Grande","07_Ambiental","fig_05_desastres_tipo",TRUE,"_fig_05",TRUE,128
"Del Río Grande","07_Ambiental","fig_06_eventos_anio",TRUE,"_fig_06",TRUE,93
"Del Río Grande","07_Ambiental","fig_07_imrc",TRUE,"_fig_07",TRUE,111
"Del Río Grande","07_Ambiental","mapa_07_perdida_cobertura",TRUE,"_mapa07_perdida_cobertura",TRUE,152
"Del Río Grande","08_Educacion","fig_01_cobertura_neta",TRUE,"_fig_01",TRUE,128
"Del Río Grande","08_Educacion","fig_02_desercion_escolar",TRUE,"_fig_02",TRUE,115
"Del Río Grande","08_Educacion","fig_03_repitencia_escolar",TRUE,"_fig_03",TRUE,115
"Del Río Grande","08_Educacion","mapa_08_cobertura_neta",TRUE,"_mapa08_cobertura_neta",TRUE,158
"Del Río Grande","09_Salud","fig_01_aseguramiento_sgsss",TRUE,"_fig_01",TRUE,125
"Del Río Grande","09_Salud","fig_02_bajo_peso",TRUE,"_fig_02",TRUE,123
"Del Río Grande","09_Salud","fig_03_enfermedades_vectores",TRUE,"_fig_03",TRUE,110
"Del Río Grande","09_Salud","fig_04_suicidios",TRUE,"_fig_04",TRUE,131
"Del Río Grande","09_Salud","mapa_09_mortalidad_infantil",TRUE,"_mapa09_mortalidad_infantil",TRUE,161
"Del Río Grande","10_Seguridad","fig_01_percepcion_seguridad",TRUE,"_fig_01",TRUE,146
"Del Río Grande","10_Seguridad","fig_02_restitucion_tierras",TRUE,"_fig_02",TRUE,132
"Del Río Grande","10_Seguridad","fig_03_personas_desaparecidas",TRUE,"_fig_03",TRUE,101
"Del Río Grande","10_Seguridad","fig_04_victimas_ocurrencia",TRUE,"_fig_04",TRUE,109
"Del Río Grande","10_Seguridad","fig_05_hechos_victimizantes",TRUE,"_fig_05",TRUE,208
"Del Río Grande","10_Seguridad","mapa_10_homicidios_dpto",TRUE,"_mapa10_homicidios_dpto",TRUE,224
"Del Río Grande","10_Seguridad","mapa_10_homicidios",TRUE,"_mapa10_homicidios",TRUE,148
"Turística y Agroecológica","01_Generalidades","fig_01_distribucion_territorial",TRUE,"_fig_01",TRUE,85
"Turística y Agroecológica","01_Generalidades","mapa_00_localizacion",TRUE,"_mapa00_localizacion",TRUE,193
"Turística y Agroecológica","01_Generalidades","mapa_01_area",TRUE,"_mapa01_area",TRUE,112
"Turística y Agroecológica","02_Demografia","fig_01_poblacion_municipio",TRUE,"_fig_01",TRUE,92
"Turística y Agroecológica","02_Demografia","fig_02_composicion_urbana_rural",TRUE,"_fig_02",TRUE,117
"Turística y Agroecológica","02_Demografia","fig_03_densidad_poblacional",TRUE,"_fig_03",TRUE,109
"Turística y Agroecológica","02_Demografia","fig_04_piramide_poblacional",TRUE,"_fig_04",TRUE,135
"Turística y Agroecológica","02_Demografia","fig_05_indice_envejecimiento",TRUE,"_fig_05",TRUE,113
"Turística y Agroecológica","02_Demografia","mapa_02_densidad",TRUE,"_mapa02_densidad",TRUE,112
"Turística y Agroecológica","03_Ordenamiento","fig_01_uso_suelo_rural",TRUE,"_fig_01",TRUE,92
"Turística y Agroecológica","03_Ordenamiento","fig_02_catastro_avaluo_rural",TRUE,"_fig_02",TRUE,98
"Turística y Agroecológica","03_Ordenamiento","fig_03_vias_area",TRUE,"_fig_03",TRUE,101
"Turística y Agroecológica","03_Ordenamiento","fig_04_vias_habitantes",TRUE,"_fig_04",TRUE,101
"Turística y Agroecológica","03_Ordenamiento","fig_05_deficit_cuantitativo",TRUE,"_fig_05",TRUE,114
"Turística y Agroecológica","03_Ordenamiento","fig_06_deficit_cualitativo",TRUE,"_fig_06",TRUE,113
"Turística y Agroecológica","03_Ordenamiento","fig_07_servicios_publicos",TRUE,"_fig_07",TRUE,134
"Turística y Agroecológica","03_Ordenamiento","fig_08_imca_dimensiones",TRUE,"_fig_08",TRUE,177
"Turística y Agroecológica","03_Ordenamiento","fig_09_imca_adopcion_tic",TRUE,"_fig_09",TRUE,100
"Turística y Agroecológica","03_Ordenamiento","fig_10_gobierno_digital",TRUE,"_fig_10",TRUE,111
"Turística y Agroecológica","03_Ordenamiento","fig_11_gobierno_digital_componentes",TRUE,"_fig_11",TRUE,162
"Turística y Agroecológica","03_Ordenamiento","fig_12_tti_edsup",TRUE,"_fig_12",TRUE,107
"Turística y Agroecológica","03_Ordenamiento","fig_13_internet_1000hab",TRUE,"_fig_13",TRUE,102
"Turística y Agroecológica","03_Ordenamiento","fig_14_internet_fibra",TRUE,"_fig_14",TRUE,112
"Turística y Agroecológica","03_Ordenamiento","mapa_03_deficit_vivienda",TRUE,"_mapa03_deficit_vivienda",TRUE,118
"Turística y Agroecológica","04_Gobernabilidad","fig_01_mdm",TRUE,"_fig_01",TRUE,100
"Turística y Agroecológica","04_Gobernabilidad","fig_02_idf",TRUE,"_fig_02",TRUE,104
"Turística y Agroecológica","04_Gobernabilidad","fig_03_ley617",TRUE,"_fig_03",TRUE,113
"Turística y Agroecológica","04_Gobernabilidad","fig_04_icm",TRUE,"_fig_04",TRUE,110
"Turística y Agroecológica","04_Gobernabilidad","fig_05_icm_dimensiones",TRUE,"_fig_05",TRUE,179
